kel_layanan,kel_icd,No DC,Nama DC,kode icd,deskripsi icd/Nama Penyakit,RS kompetensi
Kelompok Layanan Jantung & Pembuluh darah,icd 9,15261,Other Circulatory Procedures,21.09,Control of epistaxis by other means,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 9,10111,Trach w Mech Vent Support 96+ Hr w LOS 21+ days,31.29,Other permanent tracheostomy,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 9,15261,Other Circulatory Procedures,83.49,Other excision of soft tissue,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 9,15272,Gangrene w Wound Debridement,86.22,"Excisional debridement of wound, infection, or burn",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 9,11741,Ischemic Stroke w Thrombolytic,99.10,Injection or infusion of thrombolytic agent,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 9,15611,Acute MI w Thrombolitic Injection,99.20,Injection or infusion of platelet inhibitor,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,A39.5,Meningococcal heart disease,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,A52.0,Cardiovascular syphilis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,B33.2,Viral carditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,B57.0,Acute chagas' disease with heart involvement,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,B57.2,Chagas' disease (chronic) with heart involvement,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,C38.0,"Malignant neoplasm, heart",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,D18.0,"Haemangioma, any site",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,D18.07,"Haemangioma, multiple sites (IM)",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,D18.08,"Haemangioma, other sites (IM)",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,D18.09,"Haemangioma, unspecified (IM)",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15272,Gangrene w Wound Debridement,E10.5,Insulin-dependent diabetes mellitus with peripheral circulatory complications,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15272,Gangrene w Wound Debridement,E11.5,Non-insulin-dependent diabetes mellitus with peripheral circulatory complications,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15272,Gangrene w Wound Debridement,E12.5,Malnutrition-related diabetes mellitus with peripheral circulatory complications,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15272,Gangrene w Wound Debridement,E13.5,Other specified diabetes mellitus with peripheral circulatory complications,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15272,Gangrene w Wound Debridement,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I01.0,Acute rheumatic pericarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I01.1,Acute rheumatic endocarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I01.2,Acute rheumatic myocarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I01.8,Other acute rheumatic heart disease,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I01.9,"Acute rheumatic heart disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I02.0,Rheumatic chorea with heart involvement,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I02.9,Rheumatic chorea without heart involvement,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I05.0,Mitral stenosis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I05.1,Rheumatic mitral insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I05.2,Mitral stenosis with insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I05.8,Other mitral valve diseases,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I05.9,"Mitral valve disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I06.0,Rheumatic aortic stenosis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I06.1,Rheumatic aortic insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I06.2,Rheumatic aortic stenosis with insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I06.8,Other rheumatic aortic valve diseases,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I06.9,"Rheumatic aortic valve disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I07.0,Tricuspid stenosis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I07.1,Tricuspid insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I07.2,Tricuspid stenosis with insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I07.8,Other tricuspid valve diseases,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I07.9,"Tricuspid valve disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.0,Disorders of both mitral and aortic valves,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.1,Disorders of both mitral and tricuspid valves,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.2,Disorders of both aortic and tricuspid valves,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.3,"Combined disorders of mitral, aortic and tricuspid valves",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.8,Other multiple valve diseases,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.9,"Multiple valve disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I09.0,Rheumatic myocarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I09.1,"Rheumatic diseases of endocardium, valve unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I09.2,Chronic rheumatic pericarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I09.8,Other specified rheumatic heart diseases,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I09.9,"Rheumatic heart disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15681,Hypertension,I10,Essential (primary) hypertension,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I11.0,Hypertensive heart disease with (congestive) heart failure,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15681,Hypertension,I11.9,Hypertensive heart disease without (congestive) heart failure,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I13.0,Hypertens heart and renal dis with (congestive) heart failure,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I13.2,Hyper heart and renal disease both (congestive) heart failure and renal failure,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15681,Hypertension,I13.9,"Hypertensive heart and renal disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15681,Hypertension,I15.1,Hypertension secondary to other renal disorders,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15681,Hypertension,I15.2,Hypertension secondary to endocrine disorders,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15681,Hypertension,I15.8,Other secondary hypertension,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15681,Hypertension,I15.9,"Secondary hypertension, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15731,Unstable Angina,I20.0,Unstable angina,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15731,Unstable Angina,I20.1,Angina pectoris with documented spasm,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15671,Coronary Atherosclerosis,I20.8,Other forms of angina pectoris,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15671,Coronary Atherosclerosis,I20.9,"Angina pectoris, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15611,Acute MI w Thrombolitic Injection,I21.0,Acute transmural myocardial infarction of anterior wall,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15611,Acute MI w Thrombolitic Injection,I21.1,Acute transmural myocardial infarction of inferior wall,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15611,Acute MI w Thrombolitic Injection,I21.2,Acute transmural myocardial infarction of other sites,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15611,Acute MI w Thrombolitic Injection,I21.3,Acute transmural myocardial infarction of unspecified site,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15611,Acute MI w Thrombolitic Injection,I21.4,Acute subendocardial myocardial infarction,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15611,Acute MI w Thrombolitic Injection,I21.9,"Acute myocardial infarction, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15611,Acute MI w Thrombolitic Injection,I22.0,Subsequent myocardial infarction of anterior wall,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15611,Acute MI w Thrombolitic Injection,I22.1,Subsequent myocardial infarction of inferior wall,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15611,Acute MI w Thrombolitic Injection,I22.8,Subsequent myocardial infarction of other sites,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15611,Acute MI w Thrombolitic Injection,I22.9,Subsequent myocardial infarction of unspecified site,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I23.4,Rupture chordae tendineae as current complication following acut myocardial infarction,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I23.5,Rupture of papilary muscle as current complication following acute myocardial infarction,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I24.8,Other forms of acute ischaemic heart disease,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I24.9,"Acute ischaemic heart disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I25.0,"Atherosclerotic cardiovascular disease, so described",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I25.1,Atherosclerotic heart disease,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I25.2,Old myocardial infarction,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I25.3,Aneurysm of heart,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I25.5,Ischaemic cardiomyopathy,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I25.6,Silent myocardial ischaemia,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I25.8,Other forms of chronic ischaemic heart disease,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I25.9,"Chronic ischaemic heart disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I26.9,Pulmonary embolism without mention of acute cor pulmonale,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I30.1,Infective pericarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I30.8,Other forms of acute pericarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I30.9,"Acute pericarditis, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I31.2,"Haemopericardium, not elsewhere classified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I31.3,Pericardial effusion (noninflammatory),Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I31.8,Other specified diseases of pericardium,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I31.9,"Disease of pericardium, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I32.0*,Pericarditis in bacterial diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I32.1*,Pericarditis in other infectious and parasitic diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I32.8*,Pericarditis in other diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I33.0,Acute and subacute infective endocarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I33.9,"Acute endocarditis, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I34.0,Mitral (valve) insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I34.1,Mitral (valve) prolapse,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I34.2,Nonrheumatic mitral (valve) stenosis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I34.8,Other nonrheumatic mitral valve disorders,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I34.9,"Nonrheumatic mitral valve disorder, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I35.0,Aortic (valve) stenosis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I35.1,Aortic (valve) insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I35.2,Aortic (valve) stenosis with insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I35.8,Other aortic valve disorders,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I35.9,"Aortic valve disorder, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I36.0,Nonrheumatic tricuspid (valve) stenosis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I36.1,Nonrheumatic tricuspid (valve) insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I36.2,Nonrheumatic tricuspid (valve) stenosis with insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I36.8,Other nonrheumatic tricuspid valve disorders,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I36.9,"Nonrheumatic tricuspid valve disorder, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I37.0,Pulmonary valve stenosis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I37.8,Other pulmonary valve disorders,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I37.9,"Pulmonary valve disorder, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I38,"Endocarditis, valve unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15701,Valvular Disorders,I39.0*,Mitral valve disorders in diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15701,Valvular Disorders,I39.1*,Aortic valve disorders in diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15701,Valvular Disorders,I39.2*,Tricuspid valve disorders in diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15701,Valvular Disorders,I39.3*,Pulmonary valve disorders in diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I39.4*,Multiple valve disorders in diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I39.8*,"Endocarditis, valve unspec, in diseases class elsewhere",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I40.0,Infective myocarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I40.1,Isolated myocarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I40.8,Other acute myocarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I40.9,"Acute myocarditis, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I41.0*,Myocarditis in bacterial diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I41.1*,Myocarditis in viral diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I41.2*,Myocarditis in other infectious and parasitic diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I41.8*,Myocarditis in other diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I42.0,Dilated cardiomyopathy,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I42.2,Other hypertrophic cardiomyopathy,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I42.4,Endocardial fibroelastosis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I42.5,Other restrictive cardiomyopathy,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I42.9,"Cardiomyopathy, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I44.0,"Atrioventricular block, first degree",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I44.1,"Atrioventricular block, second degree",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I44.2,"Atrioventricular block, complete",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I44.3,Other and unspecified atrioventricular block,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I44.4,Left anterior fascicular block,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I44.5,Left posterior fascicular block,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I44.6,Other and unspecified fascicular block,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I44.7,"Left bundle-branch block, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I45.0,Right fascicular block,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I45.1,Other and unspecified right bundle-branch block,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I45.2,Bifascicular block,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I45.3,Trifascicular block,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I45.4,Nonspecific intraventricular block,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I45.5,Other specified heart block,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15711,Major Arrhythmia and Cardiac Arrest,I45.6,Pre-excitation syndrome,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I45.8,Other specified conduction disorders,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I45.9,"Conduction disorder, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I46.0,Cardiac arrest with successful resuscitation,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I46.1,"Sudden cardiac death, so described",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I46.9,"Cardiac arrest, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15711,Major Arrhythmia and Cardiac Arrest,I47.0,Re-entry ventricular arrhythmia,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I47.1,Supraventricular tachycardia,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I47.2,Ventricular tachycardia,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I47.9,"Paroxysmal tachycardia, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I48,Atrial fibrillation and flutter,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I49.0,Ventricular fibrillation and flutter,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I49.00,Ventricular fibrillation and flutter with structural heart diseases (IM),Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I49.01,Ventricular fibrillation and flutter without structural heart diseases (idiopathic)(Bugrada sy (IM),Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I49.09,"Ventricular fibrillation and flutter, unspecified (IM)",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I49.1,Atrial premature depolarization,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I49.2,Junctional premature depolarization,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15711,Major Arrhythmia and Cardiac Arrest,I49.3,Ventricular premature depolarization,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I49.4,Other and unspecified premature depolarization,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I49.5,Sick sinus syndrome,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15721,Non-Major Arrhythmia and Conduction Disorders,I49.8,Other specified cardiac arrhythmias,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15711,Major Arrhythmia and Cardiac Arrest,I49.9,"Cardiac arrhythmia, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I50.0,Congestive heart failure,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I50.1,Left ventricular failure,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I50.9,"Heart failure, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I51.0,"Cardiac septal defect, acquired",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I51.1,"Rupture of chordae tendineae, not elsewhere classified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I51.2,"Rupture of papillary muscle, not elsewhere classified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I51.3,"Intracardiac thrombosis, not elsewhere classified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I51.4,"Myocarditis, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I51.5,Myocardial degeneration,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15671,Coronary Atherosclerosis,I51.6,"Cardiovascular disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15671,Coronary Atherosclerosis,I51.7,Cardiomegaly,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15671,Coronary Atherosclerosis,I51.8,Other ill-defined heart diseases,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15671,Coronary Atherosclerosis,I51.9,"Heart disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15671,Coronary Atherosclerosis,I52.0*,Other heart disorders in bacterial diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15671,Coronary Atherosclerosis,I52.1*,Oth heart disorders in oth infectious and parasitic disease classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15671,Coronary Atherosclerosis,I52.8*,Other heart disorders in other diseases classified elsewhere,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I62.9,"Intracranial haemorrhage (nontraumatic), unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,I63.8,Other cerebral infarction,Dasar
