kel_layanan,kel_icd,No DC,Nama DC,kode icd,deskripsi icd/Nama Penyakit,RS kompetensi
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17031,Pancreas & Liver Proc. except Resection w Malignancy,51.13,Open biopsy of gallbladder or bile ducts,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17042,Laparoscopic Cholecystectomy Proc.,51.23,Laparoscopic cholecystectomy,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17042,Laparoscopic Cholecystectomy Proc.,51.24,Laparoscopic partial cholecystectomy,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17051,Cholecystectomy Proc. w CDE Proc.,51.21,Other partial cholecystectomy,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17051,Cholecystectomy Proc. w CDE Proc.,51.22,Cholecystectomy,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17051,Cholecystectomy Proc. w CDE Proc.,51.84,Endoscopic dilation of ampulla and biliary duct,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17051,Cholecystectomy Proc. w CDE Proc.,51.85,Endoscopic sphincterotomy and papillotomy,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17051,Cholecystectomy Proc. w CDE Proc.,51.86,Endoscopic insertion of nasobiliary drainage tube,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17051,Cholecystectomy Proc. w CDE Proc.,51.87,Endoscopic insertion of stent (tube) into bile duct,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17051,Cholecystectomy Proc. w CDE Proc.,51.88,Endoscopic removal of stone(s) from biliary tract,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17061,Hepatobiliary Diagnostic Proc.,52.12,Open biopsy of pancreas,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,15121,Major Cardiovascular Procedures,38.86,"Other surgical occlusion of vessels, abdominal arteries",Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,50.0,Hepatotomy,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,50.12,Open biopsy of liver,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,50.92,Extracorporeal hepatic assistance,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,51.92,Closure of cholecystostomy,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,51.99,Other operations on biliary tract,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,52.01,Drainage of pancreatic cyst by catheter,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,52.09,Other pancreatotomy,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,52.22,Other excision or destruction of lesion or tissue of pancreas or pancreatic duct,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,52.95,Other repair of pancreas,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,52.99,Other operations on pancreas,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,98.52,Extracorporeal shockwave lithotripsy [ESWL] of the gallbladder and/or bile duct,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17071,Other Hepatobiliary & Pancreas Proc.,99.15,Parenteral infusion of concentrated nutritional substances,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,51.81,Dilation of sphincter of Oddi,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,51.82,Pancreatic sphincterotomy,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,51.83,Pancreatic sphincteroplasty,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,51.89,Other operations on sphincter of Oddi,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,51.95,Removal of prosthetic device from bile duct,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,52.21,Endoscopic excision or destruction of lesion or tissue of pancreatic duct,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,52.93,Endoscopic insertion of stent (tube) into pancreatic duct,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,52.94,Endoscopic removal of stone(s) from pancreatic duct,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,52.96,Anastomosis of pancreas,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,52.97,Endoscopic insertion of nasopancreatic drainage tube,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,52.98,Endoscopic dilation of pancreatic duct,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 9,17081,ERCP w Therapeutic Procedures,97.05,Replacement of stent (tube) in biliary or pancreatic duct,Utama
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17611,Cirrhosis & Alcoholic Hepatitis,K70.0,Alcoholic fatty liver,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17611,Cirrhosis & Alcoholic Hepatitis,K70.1,Alcoholic hepatitis,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,17611,Cirrhosis & Alcoholic Hepatitis,K70.2,Alcoholic fibrosis and sclerosis of liver,Madya
Kelompok Layanan Pencernaan dan Hepatobiliar,ICD 10,10011,Liver Transplant,K70.3,Alcoholic cirrhosis of liver,Madya
